,Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
1,The Legend of Zelda: Ocarina of Time,1998,Nintendo,Action Adventure;Fantasy,Nintendo64,99,9.1,1 Player
2,Tony Hawk's Pro Skater 2,2000,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation,98,7.4,2-Jan
3,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PlayStation3,98,7.5,1 Player
4,SoulCalibur,1999,Namco,Action;Fighting;3D,Dreamcast,98,8.6,2-Jan
5,Super Mario Galaxy,2007,Nintendo,Action;Platformer;Platformer;3D;3D,Wii,97,9,No Online Multiplayer
6,Super Mario Galaxy 2,2010,NintendoEADTokyo,Action;Platformer;Platformer;3D;3D,Wii,97,9.1,No Online Multiplayer
7,Grand Theft Auto V,2014,RockstarNorth,Action Adventure;Modern;Open-World,XboxOne,97,7.8,Up to 30 
8,The Legend of Zelda: Breath of the Wild,2017,Nintendo,Action Adventure;Open-World,Switch,97,8.5,No Online Multiplayer
9,Tony Hawk's Pro Skater 3,2001,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation2,97,7.4,2-Jan
10,Perfect Dark,2000,RareLtd.,Action;Shooter;First-Person;Sci-Fi,Nintendo64,97,8.9,not specified
11,Metroid Prime,2002,RetroStudios,Action;Shooter;First-Person;Sci-Fi,GameCube,97,9.2,1 Player
12,Grand Theft Auto III,2001,DMADesign,Action Adventure;Modern,PlayStation2,97,8.5,1 Player
13,Super Mario Odyssey,2017,Nintendo,Action;Platformer;3D,Switch,97,8.9,No Online Multiplayer
14,Halo: Combat Evolved,2001,BungieSoftware,Action;Shooter;First-Person;Sci-Fi,Xbox,97,8.6,4-Jan
15,NFL 2K1,2000,VisualConcepts,Sports;Traditional;Football;Sim,Dreamcast,97,6.4,not specified
16,Half-Life 2,2004,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,96,9.1,No Online Multiplayer
17,BioShock,2007,"IrrationalGames,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,96,8.9,No Online Multiplayer
18,GoldenEye 007,1997,RareLtd.,Action;Shooter;First-Person;Modern,Nintendo64,96,9.1,4-Jan
19,Uncharted 2: Among Thieves,2009,NaughtyDog,Action Adventure;Modern;Modern;Linear,PlayStation3,96,8.9,No Online Multiplayer
20,Resident Evil 4,2005,Capcom,Action Adventure;Horror,GameCube,96,9.3,1 Player
21,The Orange Box,2007,ValveSoftware,Action;Miscellaneous;Shooter;Compilation;First-Person;Sci-Fi,Xbox360,96,8.8,16  Online
22,Batman: Arkham City,2011,RocksteadyStudios,Action Adventure;Fantasy;Fantasy;Open-World,PlayStation3,96,8.7,No Online Multiplayer
23,Tekken 3,1998,Namco,Action;Fighting;3D,PlayStation,96,9.1,2-Jan
24,Mass Effect 2,2010,BioWare,Role-Playing;Action RPG;Action RPG,Xbox360,96,8.9,No Online Multiplayer
25,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action Adventure;Fantasy,GameCube,96,8.9,1 Player
26,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,96,8.5,No Online Multiplayer
27,Half-Life,1998,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,96,9.1,Jan-32
28,The Legend of Zelda: The Wind Waker,2003,Nintendo,Action Adventure;Fantasy,GameCube,96,8.9,1 Player
29,Gran Turismo,1998,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation,96,8.6,2-Jan
30,Metal Gear Solid 2: Sons of Liberty,2001,KCEJ,Action Adventure;Modern,PlayStation2,96,8.8,1 Player
31,Grand Theft Auto Double Pack,2003,RockstarNorth,Miscellaneous;Compilation,Xbox,96,7.9,1 Player
32,Baldur's Gate II: Shadows of Amn,2000,BioWare,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,95,9.2,Up to 6 
33,Grand Theft Auto: San Andreas,2004,RockstarNorth,Action Adventure;Modern,PlayStation2,95,9,2-Jan
34,Grand Theft Auto: Vice City,2002,RockstarNorth,Action Adventure;Modern,PlayStation2,95,8.8,1 Player
35,LittleBigPlanet,2008,"SCE/WWS,MediaMolecule",Action;Platformer;Platformer;3D;2D;3D,PlayStation3,95,6.8,Up to 4 
36,The Legend of Zelda Collector's Edition,2003,Nintendo,Action Adventure;Fantasy,GameCube,95,9,1 Player
37,Red Dead Redemption,2010,RockstarSanDiego,Action;Shooter;Third-Person;Historic;Action Adventure;Historic;Historic;Open-World,PlayStation3,95,8.9,Up to 16 
38,Gran Turismo 3: A-Spec,2001,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation2,95,8.4,2-Jan
39,Halo 2,2004,BungieSoftware,Action;Shooter;First-Person;Sci-Fi,Xbox,95,8.2,16-Jan
40,The Legend of Zelda: A Link to the Past,2002,Capcom,Action Adventure;Fantasy,GameBoyAdvance,95,8.9,not specified
41,The Legend of Zelda: Majora's Mask,2000,Nintendo,Action Adventure;Fantasy,Nintendo64,95,9.1,1 Player
42,The Last of Us,2013,NaughtyDog,Modern;Adventure;General;Action Adventure;General;Modern,PlayStation3,95,9.2,Up to 8 
43,Madden NFL 2003,2002,EASports,Sports;Traditional;Football;Sim,PlayStation2,95,7.4,2-Jan
44,The Last of Us Remastered,2014,NaughtyDog,Action Adventure;General;Modern,PlayStation4,95,9.1,Up to 8 
45,Portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,95,9,not specified
46,Metal Gear Solid V: The Phantom Pain,2015,"KojimaProductions,MobyDickStudio",Modern;Modern;Action Adventure;Open-World,XboxOne,95,7.4,Up to 16 
47,World of Goo,2008,2DBoy,Miscellaneous;Puzzle;Action;Puzzle;General;Puzzle;General,Wii,94,8.7,4-Jan
48,BioShock Infinite,2013,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,94,8.5,No Online Multiplayer
49,Final Fantasy IX,2000,SquareSoft,Role-Playing;Console-style RPG,PlayStation,94,8.9,1 Player
50,Call of Duty: Modern Warfare 2,2009,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,94,6.4,Up to 18 
51,Tony Hawk's Pro Skater 4,2002,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation2,94,8.4,8-Jan
52,Devil May Cry,2001,Capcom,Action Adventure;Fantasy,PlayStation2,94,8.6,1 Player
53,Call of Duty 4: Modern Warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,94,8.4,Up to 18 
54,Madden NFL 2002,2001,EASports,Sports;Traditional;Football;Sim,PlayStation2,94,7.4,8-Jan
55,God of War,2018,SCESantaMonica,Action Adventure;Linear,PlayStation4,94,9.1,No Online Multiplayer
