,Title,Platform,Userscore,Comment,Username
1,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"Everything in OoT is so near at perfection, its really no wonder that this game has such a huge fanbase and is so highly rated among players and critics.",SirCaestus
2,Tony Hawk's Pro Skater 2,PlayStation,10," Breath-taking, still replayable to this day. Relive the classic game that defined the extreme sports genre by cutting into a slice of a cake knows as Tony Hawk's Pro Skater 2. The whole game revamped what was previously thought un-upgradable and maximized it ten fold. The whole concept is awesome and it appealed to both hardcore and casual gamers. An enthralling game that deserves Breath-taking, still replayable to this day. Relive the classic game that defined the extreme sports genre by cutting into a slice of a cake knows as Tony Hawk's Pro Skater 2. The whole game revamped what was previously thought un-upgradable and maximized it ten fold. The whole concept is awesome and it appealed to both hardcore and casual gamers. An enthralling game that deserves its 98/100 metascore. May this game be in a video game museum, shelved as one of the best games of all time. It deserves it. Go on, play the game today!",HimanchuGiri
3,Grand Theft Auto IV,PlayStation3,10,"After playing GTA III, Vice City and San Andreas it was hard to imagine being swept away again by another GTA game but man does this game deliver. The story, the characters, the setting and the game world are so well crafted and put together it's nice to see some developers still take time to prepare their works and not just milk a franchise with yearly releases.",Tubie
4,SoulCalibur,Dreamcast,10," The best fighting game I've ever played by far! It's got everything; eye-candy graphics, great characters & some of the most amazing moves I've seen in a long time. It even seems to have a plot (of sorts) which I really like; the characters have real depth & even a personal history. The thing I like about it most of all are all the hidden extras you uncover when you The best fighting game I've ever played by far! It's got everything; eye-candy graphics, great characters & some of the most amazing moves I've seen in a long time. It even seems to have a plot (of sorts) which I really like; the characters have real depth & even a personal history. The thing I like about it most of all are all the hidden extras you uncover when you complete the game. It gives you a real added incentive to carry on playing. I would personally recommend this game to anyone.",NikkiH.
5,Super Mario Galaxy,Wii,10,"Nintendo always impresses me. Mario Galaxy was the best Mario game i've ever played, it's just really fun. I completed the whole game, and wanted more. I like the graphics, and the planets with yoshi are awesome. I loved playing this game, and deserves a 10. No game is perfect, and this one isn't, but is really really good. If a game was perfect, it would score more than the site maximum,Nintendo always impresses me. Mario Galaxy was the best Mario game i've ever played, it's just really fun. I completed the whole game, and wanted more. I like the graphics, and the planets with yoshi are awesome. I loved playing this game, and deserves a 10. No game is perfect, and this one isn't, but is really really good. If a game was perfect, it would score more than the site maximum, so a 10 is fair.",Nero97
6,Super Mario Galaxy 2,Wii,10," I barely even played this game and I was simply amazed. Even after ten minutes, Nintendo EAD's masterpiece pulls you into a universe of incredible beauty. I won't spoil the details, but this probably has the best graphics to date on the Wii and the gameplay brings me back to my childhood when simplicity was fun. In short: Graphics: 10- The best you'll see Sound: 10- Classic I barely even played this game and I was simply amazed. Even after ten minutes, Nintendo EAD's masterpiece pulls you into a universe of incredible beauty. I won't spoil the details, but this probably has the best graphics to date on the Wii and the gameplay brings me back to my childhood when simplicity was fun. In short: Graphics: 10- The best you'll see Sound: 10- Classic Mario Music Gamplay: 10- Amazing Story: 9.75- It may be an original Mario story, but its just Bowser taking Peach Overall: 10 Final Verdict: If you're reading this and you own a Wii, you better buy this game. This is the second best game ever created by Nintendo EAD, just behind The Legend of Zelda: Ocarina of Time, and is the best game on the Wii to date. As stated by IGN, its ""Masterful"".",S.Kumar
7,Grand Theft Auto V,XboxOne,10,"Great Game. The best GTA now enhanced by the Xbox One is a delight to play. Given that the Original GTAV was close to a 10/10 imo, this version just finalises any doubts in my mind.I am very surprised that upon playing 6+ Hours of the game already the framerate was indeed very smooth. Great job by Rockstar, their game developers obviously know how to code video games before releaseGreat Game. The best GTA now enhanced by the Xbox One is a delight to play. Given that the Original GTAV was close to a 10/10 imo, this version just finalises any doubts in my mind.I am very surprised that upon playing 6+ Hours of the game already the framerate was indeed very smooth. Great job by Rockstar, their game developers obviously know how to code video games before release unlike cough cough UBIFAIL.Coming from playing ACU last week to this was a real pleasure and I’m glad some game developers still know how to optimize video games.Thanks for a great game Rockstar.",rossco98
8,The Legend of Zelda: Breath of the Wild,Switch,10,"In the starting area "" great plateau"" there is endless amounts of things to do and it feels huge! I climbed a mountain to find a shrine and it felt like such a journey. I felt accomplishment something you rarely feel on video games these days.This has to be without a doubt game of the year, and as my experience with the game continues i feel like it could possibly be the best game ever made.",triskyhd
9,Tony Hawk's Pro Skater 3,PlayStation2,10,"THPS3 is definitely my favorite video game of all-time. The Career Mode is once again extraordinary, with bigger and better levels, (except the Suburbia level  it wasn't that good of a level for me) the Park Editor is a downright upgrade to the THPS2 version, Create-A-Skater is much more fun to play around with, and much more. Absolutely everything works in this game. Try it, you will notTHPS3 is definitely my favorite video game of all-time. The Career Mode is once again extraordinary, with bigger and better levels, (except the Suburbia level  it wasn't that good of a level for me) the Park Editor is a downright upgrade to the THPS2 version, Create-A-Skater is much more fun to play around with, and much more. Absolutely everything works in this game. Try it, you will not regret it. Guaranteed.",Dsoy
10,Perfect Dark,Nintendo64,10, I love this game it is sooo freaking sweet! i wish i coulda bought this sooner!,JoesophW.
